Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bolivia,6.825545497,6.926582388,6.97419785,7.082323653,7.180103614,7.183202061,8.218582468,8.240985421,8.582196321,8.716541995,8.598209357,8.407296199,8.294809802,8.216869368,7.966159075
Bosnia and Herzegovina,23.91107384,24.82026181,25.16407773,25.62076726,26.16770403,28.20487546,27.40342422,26.65495103,26.82945898,25.91412264,24.29452881,23.48083869,23.77155145,21.85216409,21.18367865
Botswana,8.323534385,7.282389839,7.203402339,7.353118675,7.007288888,7.153416137,7.310192252,6.940918701,6.820403938,7.291725063,7.681369253,8.182495994,7.804025965,7.264630542,6.315803507
Brazil,21.54341662,21.48429324,21.42429001,21.32097296,20.52785824,20.62519794,21.36773473,21.29186789,21.41372812,21.65511713,22.09068451,22.25108512,21.6088884,21.20639637,20.22796459
British Virgin Islands,54.36852617,71.87727273,76.95754403,68.04212707,64.35055428,59.6538757,55.58115919,51.29882406,46.85938877,44.85143902,43.03202497,41.57488987,40.04664053,39.03297579,36.42086038
Brunei Darussalam,23.4326125,23.18266839,23.11395933,22.9736169,21.65455773,21.22209655,21.30140382,20.98876416,20.55796553,20.26303701,17.74442899,..,17.40182267,18.20224073,17.53631887
Bulgaria,36.50863975,36.10398467,35.21512375,32.40628322,31.46802494,30.40003309,29.1568108,29.57866318,29.2286001,30.89679432,29.17637831,26.73253932,25.15837054,23.05681615,20.73864186
Burkina Faso,0.50359958,0.526598149,0.654038976,0.679417938,0.685203465,0.819153999,1.008575653,1.006934833,0.922531228,0.880051268,0.853033356,0.804915537,0.708490634,0.414535689,0.40612057
Burundi,0.327579529,0.34365902,0.386274825,0.374497073,0.363319505,0.35896137,0.370312011,0.366602502,0.39890817,0.331840255,0.186636709,0.221381127,0.219060453,0.213485867,0.185668783
Cabo Verde,15.52445665,15.58545421,15.33152007,15.0874376,14.88742603,14.75295927,14.61391881,14.46264611,14.32589414,14.66401085,13.66203678,12.72375247,11.32538176,11.93140344,11.9957002
Cambodia,0.280330508,0.2441352,0.246337528,0.248458934,0.190344881,0.274401129,0.310507345,0.3846643,2.507907754,3.645646967,3.955338026,2.802041072,2.36435705,1.652229866,1.441794603
Cameroon,0.689348995,0.58976656,0.58634663,0.575926644,0.730151945,1.026746431,1.350324705,2.240638525,2.701505396,3.259992338,3.497920515,3.68963112,5.198898341,4.599531359,4.48425498
Canada,65.84104302,65.17050218,64.36111182,56.20667505,55.86071433,55.36663734,54.63327928,55.36576966,53.83294426,52.90888559,50.78980496,47.99535505,46.07140939,43.42808728,41.7624534
Cayman Islands,84.93897805,82.55844269,80.3399649,78.15392209,75.9529092,68.08072568,67.57737218,66.60218501,67.29061199,65.80003181,65.00356379,62.90281133,55.60569188,55.92448677,56.14416194
Central African Republic,0.230319694,0.238593654,0.246606935,0.242253344,..,..,..,0.080854088,0.020883326,0.018207599,0.018327923,0.017779149,0.017717177,0.041376125,0.042745637
Chad,0.131475326,0.13310951,0.133882002,0.129134681,0.191909167,0.296964246,0.404172461,0.506546849,0.430942454,0.259092719,0.219887471,0.238495357,0.173772856,0.121553987,0.092246742
Chile,22.19082179,20.58327387,20.94120752,21.43203867,20.733089,20.97790845,21.15473694,21.12554296,20.35717611,19.64690643,19.02108789,19.16757974,19.46058993,19.39954898,18.84468653
China,16.49578906,20.11315686,23.72558796,26.51625086,27.66953684,27.35165033,25.31650886,23.20386097,21.64970733,20.84966105,20.22638739,19.30765914,17.94317934,16.53480879,14.72204818
Colombia,18.68062224,18.618898,17.7620238,17.73984412,17.93104948,17.85729449,17.65851081,16.4563969,15.64996258,15.35713225,15.07232868,15.08451908,15.02542344,14.7407134,14.62586627
Comoros,1.80129557,2.2710477,2.525501149,2.769498403,3.042822365,4.056139148,4.383403654,4.5728791,3.07528578,3.275830103,3.315521614,3.101820634,3.094609454,1.877868448,1.64014374
"Congo, Dem. Rep.",0.020065914,0.01893947,0.019843793,0.019321854,0.017155082,0.005991349,0.06181509,0.06781026,0.065077304,0.085394886,0.086307825,0,0,0,0
"Congo, Rep.",0.645695267,0.199856161,0.383309772,0.427809586,0.357956623,0.33710188,0.21990385,0.272702994,0.305469291,0.314665402,0.322271318,0.329987437,0.334626607,0.340296194,0.331654188
Costa Rica,25.54599769,28.09576219,32.07979006,32.68726395,30.8556176,32.88031109,32.45807435,33.41161157,23.32934385,22.42636302,21.38081039,20.57748585,18.52239849,17.87729739,17.49594526
